Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,0,0,0,0,0
0.695667880,0,0,0,1,0,0,0,0
0.695672280,0,0,0,1,0,0,0,1
0.695680200,0,0,0,1,0,1,0,1
0.695691400,0,0,0,1,1,1,0,1
0.695695040,0,1,0,1,1,1,0,1
1.696727760,0,0,0,1,1,1,0,1
1.897122440,0,0,1,1,1,1,0,1
1.897129960,0,0,1,1,1,1,1,1
1.897133720,1,0,1,1,1,1,1,1
1.897141520,1,1,1,1,1,1,1,1
2.898179000,1,0,1,1,1,1,1,1
3.098577240,1,0,1,1,1,0,1,1
3.098580720,1,0,1,1,1,0,0,1
3.098592280,1,1,1,1,1,0,0,1
4.099633160,1,0,1,1,1,0,0,1
4.300025440,1,0,0,1,1,0,0,1
4.300029040,1,0,0,1,1,1,0,1
4.300036040,0,0,0,1,1,1,0,1
4.300043880,0,1,0,1,1,1,0,1
5.301080640,0,0,0,1,1,1,0,1
5.501491200,0,1,0,1,1,1,0,1
6.502523960,0,0,0,1,1,1,0,1
6.702914240,0,0,0,1,1,1,0,0
6.702918680,0,0,1,1,1,1,0,0
6.702925920,0,0,1,1,1,1,1,0
6.702929560,1,0,1,1,1,1,1,0
6.702933760,1,0,1,1,0,1,1,0
6.702937360,1,1,1,1,0,1,1,0
7.703974920,1,0,1,1,0,1,1,0
7.904360680,1,0,1,0,0,1,1,0
7.904376520,1,0,1,0,0,1,0,0
7.904380040,0,0,1,0,0,1,0,0
7.904384200,0,0,1,0,1,1,0,0
7.904387840,0,1,1,0,1,1,0,0
8.905424720,0,0,1,0,1,1,0,0
9.105808040,0,0,1,1,1,1,0,0
9.105812320,0,0,1,1,1,1,0,1
9.105816760,0,0,0,1,1,1,0,1
9.105820280,0,0,0,1,1,0,0,1
9.105824000,0,0,0,1,1,0,1,1
9.105827760,1,0,0,1,1,0,1,1
9.105835600,1,1,0,1,1,0,1,1
10.106871960,1,0,0,1,1,0,1,1
10.307255360,1,0,0,0,1,0,1,1
10.307259520,1,0,0,0,1,0,1,0
10.307264080,1,0,1,0,1,0,1,0
10.307267680,1,0,1,0,1,1,1,0
10.307271200,1,0,1,0,1,1,0,0
10.307274720,0,0,1,0,1,1,0,0
10.307282520,0,1,1,0,1,1,0,0
11.308314520,0,0,1,0,1,1,0,0
11.508707920,0,0,1,0,1,1,0,1
11.508719880,0,0,1,0,1,1,1,1
11.508723600,1,0,1,0,1,1,1,1
11.508731440,1,1,1,0,1,1,1,1
12.509768880,1,0,1,0,1,1,1,1
12.710158280,1,0,1,1,1,1,1,1
12.710162440,1,0,1,1,1,1,1,0
12.710174120,1,0,1,1,1,1,0,0
12.710185720,1,1,1,1,1,1,0,0
13.711221920,1,0,1,1,1,1,0,0
13.911604640,1,0,1,0,1,1,0,0
13.911608920,1,0,1,0,1,1,0,1
13.911620840,1,0,1,0,1,1,1,1
13.911632440,1,1,1,0,1,1,1,1
14.912671160,1,0,1,0,1,1,1,1
15.113057880,1,0,1,0,1,1,1,0
15.113069600,1,0,1,0,1,1,0,0
15.113073120,0,0,1,0,1,1,0,0
15.113080920,0,1,1,0,1,1,0,0
16.114117000,0,0,1,0,1,1,0,0
16.314526040,0,1,1,0,1,1,0,0
17.315558960,0,0,1,0,1,1,0,0
17.515940880,0,0,1,1,1,1,0,0
17.515960480,1,0,1,1,1,1,0,0
17.515968280,1,1,1,1,1,1,0,0
18.517004080,1,0,1,1,1,1,0,0
18.717414600,1,1,1,1,1,1,0,0
19.718451480,1,0,1,1,1,1,0,0
19.918862880,1,1,1,1,1,1,0,0
20.919899120,1,0,1,1,1,1,0,0
21.120298680,1,0,1,1,1,1,1,0
21.120306480,1,0,1,1,0,1,1,0
21.120310120,1,1,1,1,0,1,1,0
22.121346120,1,0,1,1,0,1,1,0
22.321734160,1,0,1,1,0,1,1,1
22.321742120,1,0,1,1,0,0,1,1
22.321745600,1,0,1,1,0,0,0,1
22.321753560,1,0,1,1,1,0,0,1
22.321757160,1,1,1,1,1,0,0,1
23.322792120,1,0,1,1,1,0,0,1
23.523190520,1,0,1,1,1,0,1,1
23.523194160,0,0,1,1,1,0,1,1
23.523198360,0,0,1,1,0,0,1,1
23.523201960,0,1,1,1,0,0,1,1
24.524235440,0,0,1,1,0,0,1,1
24.724638080,1,0,1,1,0,0,1,1
24.724642280,1,0,1,1,1,0,1,1
24.724645920,1,1,1,1,1,0,1,1
25.725688480,1,0,1,1,1,0,1,1
25.926081400,1,0,1,1,1,0,1,0
25.926089560,1,0,1,1,1,1,1,0
25.926093080,1,0,1,1,1,1,0,0
25.926104640,1,1,1,1,1,1,0,0
26.927141960,1,0,1,1,1,1,0,0
27.127559120,1,1,1,1,1,1,0,0
28.128597560,1,0,1,1,1,1,0,0
28.328979480,1,0,1,0,1,1,0,0
28.328983720,1,0,1,0,1,1,0,1
28.328995680,1,0,1,0,1,1,1,1
28.329007240,1,1,1,0,1,1,1,1
29.330043200,1,0,1,0,1,1,1,1
29.530429440,1,0,1,1,1,1,1,1
29.530441640,1,0,1,1,1,0,1,1
29.530456960,1,1,1,1,1,0,1,1
30.531494720,1,0,1,1,1,0,1,1
30.731881480,1,0,1,1,1,0,1,0
30.731885920,1,0,0,1,1,0,1,0
30.731889640,1,0,0,1,1,1,1,0
30.731905000,1,1,0,1,1,1,1,0
31.732940200,1,0,0,1,1,1,1,0
31.933328840,1,0,1,1,1,1,1,0
31.933336080,1,0,1,1,1,1,0,0
31.933347680,1,1,1,1,1,1,0,0
32.934382160,1,0,1,1,1,1,0,0
33.134793880,1,1,1,1,1,1,0,0
34.135831600,1,0,1,1,1,1,0,0
34.336241840,1,1,1,1,1,1,0,0
35.337278600,1,0,1,1,1,1,0,0
35.537666360,1,0,1,1,1,1,0,1
35.537674320,1,0,1,1,1,0,0,1
35.537689400,1,1,1,1,1,0,0,1
36.538725640,1,0,1,1,1,0,0,1
36.739135840,1,1,1,1,1,0,0,1
37.740171080,1,0,1,1,1,0,0,1
37.940570240,1,0,1,1,1,0,1,1
37.940573880,0,0,1,1,1,0,1,1
37.940578080,0,0,1,1,0,0,1,1
37.940581720,0,1,1,1,0,0,1,1
38.941616280,0,0,1,1,0,0,1,1
39.142025280,1,0,1,1,0,0,1,1
39.142029480,1,0,1,1,1,0,1,1
39.142033120,1,1,1,1,1,0,1,1
40.143069880,1,0,1,1,1,0,1,1
40.343486920,1,1,1,1,1,0,1,1
41.344523400,1,0,1,1,1,0,1,1
41.544909360,1,0,1,1,1,0,1,0
41.544917560,1,0,1,1,1,1,1,0
41.544921080,1,0,1,1,1,1,0,0
41.544932640,1,1,1,1,1,1,0,0
42.545966800,1,0,1,1,1,1,0,0
42.746368800,1,0,1,1,1,1,1,0
42.746376600,1,0,1,1,0,1,1,0
42.746380240,1,1,1,1,0,1,1,0
43.747416440,1,0,1,1,0,1,1,0
43.947814880,1,0,1,1,0,1,0,0
43.947822840,1,0,1,1,1,1,0,0
43.947826440,1,1,1,1,1,1,0,0
44.948865680,1,0,1,1,1,1,0,0
45.149251200,1,0,1,0,1,1,0,0
45.149255440,1,0,1,0,1,1,0,1
45.149267400,1,0,1,0,1,1,1,1
45.149278960,1,1,1,0,1,1,1,1
46.150314040,1,0,1,0,1,1,1,1
46.350697400,1,0,1,1,1,1,1,1
46.350709600,1,0,1,1,1,0,1,1
46.350724920,1,1,1,1,1,0,1,1
47.351762200,1,0,1,1,1,0,1,1
47.552152920,1,0,1,1,1,0,1,0
47.552157360,1,0,0,1,1,0,1,0
47.552161080,1,0,0,1,1,1,1,0
47.552176440,1,1,0,1,1,1,1,0
48.553211760,1,0,0,1,1,1,1,0
48.753599680,1,0,0,1,1,1,1,1
48.753604120,1,0,1,1,1,1,1,1
48.753607640,1,0,1,1,1,0,1,1
48.753611120,1,0,1,1,1,0,0,1
48.753622680,1,1,1,1,1,0,0,1
49.754658880,1,0,1,1,1,0,0,1
49.955058480,1,0,1,1,1,0,1,1
49.955062120,0,0,1,1,1,0,1,1
49.955066320,0,0,1,1,0,0,1,1
49.955069920,0,1,1,1,0,0,1,1
50.956102560,0,0,1,1,0,0,1,1
51.156485200,0,0,1,0,0,0,1,1
51.156489320,0,0,1,0,0,0,1,0
51.156497520,0,0,1,0,0,1,1,0
51.156501040,0,0,1,0,0,1,0,0
51.156508720,0,0,1,0,1,1,0,0
51.156512360,0,1,1,0,1,1,0,0
52.157549400,0,0,1,0,1,1,0,0
52.357965840,0,1,1,0,1,1,0,0
53.359000040,0,0,1,0,1,1,0,0
53.559392360,0,0,1,1,1,1,0,0
53.559411920,1,0,1,1,1,1,0,0
53.559419760,1,1,1,1,1,1,0,0
54.560456400,1,0,1,1,1,1,0,0
54.760841520,1,0,1,0,1,1,0,0
54.760849960,1,0,0,0,1,1,0,0
54.760860600,0,0,0,0,1,1,0,0
54.760868440,0,1,0,0,1,1,0,0
55.761904280,0,0,0,0,1,1,0,0
55.962289280,0,0,0,1,1,1,0,0
55.962297880,0,0,1,1,1,1,0,0
55.962308880,1,0,1,1,1,1,0,0
55.962316680,1,1,1,1,1,1,0,0
56.963353400,1,0,1,1,1,1,0,0
57.163739840,1,0,1,0,1,1,0,0
57.163759160,0,0,1,0,1,1,0,0
57.163767000,0,1,1,0,1,1,0,0
58.164802560,0,0,1,0,1,1,0,0
58.365188080,0,0,1,1,1,1,0,0
58.365192360,0,0,1,1,1,1,0,1
58.365200280,0,0,1,1,1,0,0,1
58.365204040,0,0,1,1,1,0,1,1
58.365207800,1,0,1,1,1,0,1,1
58.365215640,1,1,1,1,1,0,1,1
59.366253960,1,0,1,1,1,0,1,1
59.566650160,1,0,1,1,1,1,1,1
